年纪,语文,数学,英语,物理,化学,生物,历史,综合,等级
高三,62,65,60,76,64,52,63,63.0,丙
高一,99,69,86,55,55,61,72,69.0,丙
高一,61,55,58,60,78,50,63,60.0,丙
高三,82,73,79,52,88,91,57,79.0,丙
高二,91,83,71,93,82,99,90,90.0,甲
高三,100,59,83,55,84,51,56,59.0,丁
高三,74,55,83,82,68,99,71,74.0,丙
高一,80,72,50,94,70,78,55,72.0,丙
高一,59,66,66,53,57,91,92,66.0,丙
高三,74,67,74,73,97,81,81,74.0,丙
高一,69,86,67,67,98,57,79,69.0,丙
高一,72,80,88,96,69,53,67,72.0,丙
高一,73,100,74,72,59,67,55,72.0,丙
高二,69,70,83,70,55,67,55,69.0,丙
高三,100,96,73,79,58,78,95,79.0,丙
高二,56,67,85,80,92,50,99,80.0,丙
高二,98,100,77,53,91,58,84,84.0,丙
高三,85,71,74,86,90,83,67,83.0,丙
高二,55,84,78,67,91,56,96,78.0,丙
高一,55,84,65,55,52,88,95,65.0,丙
高三,82,54,76,85,67,51,51,67.0,丙
高二,72,89,79,60,82,80,70,79.0,丙
高三,52,78,84,60,78,66,58,66.0,丙
高二,74,74,81,60,81,80,88,80.0,丙
高三,85,50,95,70,56,98,73,73.0,丙
高二,96,82,79,76,97,90,76,82.0,丙
高三,54,59,95,93,95,96,86,93.0,甲
高一,74,96,63,79,61,56,72,72.0,丙
高三,77,79,79,97,82,70,82,79.0,丙
高一,64,94,53,98,64,82,88,82.0,丙
高一,97,91,64,76,76,62,95,76.0,丙
高一,50,96,78,75,91,78,86,78.0,丙
高二,69,54,50,70,68,97,65,68.0,丙
高三,89,51,100,66,84,96,81,84.0,丙
高二,53,50,98,88,75,90,52,75.0,丙
高二,88,60,69,55,83,66,78,69.0,丙
高一,84,91,67,70,95,80,56,80.0,丙
高二,64,82,87,63,63,84,83,82.0,丙
高一,68,57,69,81,64,94,70,69.0,丙
高二,87,57,81,72,93,55,98,81.0,丙
高二,56,76,95,66,90,54,61,66.0,丙
高一,77,80,52,100,70,96,53,77.0,丙
高二,73,68,55,71,60,59,69,68.0,丙
高三,53,95,56,53,70,91,83,70.0,丙
高一,51,93,65,99,72,56,51,65.0,丙
高一,98,71,77,59,58,69,92,71.0,丙
高一,96,69,90,92,69,73,56,73.0,丙
高二,79,83,53,83,59,97,83,83.0,丙
高二,96,50,56,86,99,92,58,86.0,乙
高三,52,76,76,96,76,83,52,76.0,丙
高二,60,93,72,50,97,52,67,67.0,丙
高三,72,98,69,88,55,77,96,77.0,丙
高三,76,57,71,93,63,58,75,71.0,丙
高一,94,66,60,55,66,90,62,66.0,丙
高二,87,96,100,99,82,81,95,95.0,甲
高二,52,80,82,60,99,88,51,80.0,丙
高二,57,57,51,63,74,78,71,63.0,丙
高三,53,70,78,70,69,53,97,70.0,丙
高一,90,63,62,52,81,90,91,81.0,丙
高一,98,80,62,54,77,82,84,80.0,丙
高二,62,67,79,54,70,86,81,70.0,丙
高三,66,77,94,69,99,71,63,71.0,丙
高三,79,82,72,87,73,97,61,79.0,丙
高三,60,79,67,76,83,89,50,76.0,丙
高一,74,90,53,85,85,70,50,74.0,丙
高二,79,54,52,76,61,86,70,70.0,丙
高一,69,52,89,84,86,79,74,79.0,丙
高一,62,51,100,74,84,56,77,74.0,丙
高一,61,85,76,50,71,92,53,71.0,丙
高一,82,85,89,53,66,56,100,82.0,丙
高二,94,77,80,51,53,80,98,80.0,丙
高二,69,93,52,97,96,89,72,89.0,乙
高二,51,54,51,55,59,99,81,55.0,丁
高三,50,75,76,79,96,87,93,79.0,丙
高三,100,66,79,61,83,66,72,72.0,丙
高三,96,96,58,50,51,59,51,58.0,丁
高二,86,54,65,65,56,60,78,65.0,丙
高三,61,65,82,65,97,76,70,70.0,丙
高二,62,63,67,59,56,93,51,62.0,丙
高二,52,70,95,71,54,75,82,71.0,丙
高二,65,95,98,54,58,97,62,65.0,丙
高三,79,60,93,85,72,62,87,79.0,丙
高一,64,68,85,77,79,60,90,77.0,丙
高三,81,93,82,74,84,99,55,82.0,丙
高二,74,96,65,69,68,50,91,69.0,丙
高一,85,64,78,99,94,74,93,85.0,乙
高三,51,67,69,70,64,54,92,67.0,丙
高三,66,67,87,97,88,77,79,79.0,丙
高三,58,81,96,70,50,88,97,81.0,丙
高一,88,60,62,91,83,50,92,83.0,丙
高一,94,96,65,62,92,75,59,75.0,丙
高二,81,65,54,74,84,68,99,74.0,丙
高二,72,94,67,71,93,68,73,72.0,丙
高一,76,57,69,90,62,63,76,69.0,丙
高三,75,82,78,58,53,50,85,75.0,丙
高三,84,66,52,83,93,88,79,83.0,丙
高三,96,82,86,89,99,68,89,89.0,乙
高一,76,82,72,88,99,73,99,82.0,丙
高三,69,76,78,75,58,90,72,75.0,丙
高三,84,55,67,69,67,57,75,67.0,丙
高二,54,75,60,52,82,89,72,72.0,丙
高一,60,70,85,87,53,78,62,70.0,丙
高二,98,61,52,63,53,82,75,63.0,丙
高一,53,85,74,56,65,71,82,71.0,丙
高三,61,78,83,98,63,95,63,78.0,丙
高二,69,57,83,92,65,75,66,69.0,丙
高一,96,66,75,53,68,65,61,66.0,丙
高二,81,62,72,51,72,65,80,72.0,丙
高一,66,54,56,67,52,99,55,56.0,丁
高三,95,61,63,94,54,57,67,63.0,丙
高一,84,84,66,52,53,55,67,66.0,丙
高三,51,89,51,70,77,79,69,70.0,丙
高一,61,74,60,73,70,97,65,70.0,丙
高二,83,70,87,64,71,82,59,71.0,丙
高一,93,64,78,60,77,97,65,77.0,丙
高三,86,59,55,57,62,59,50,59.0,丁
高三,88,51,100,83,56,87,68,83.0,丙
高一,94,82,58,74,95,92,80,82.0,丙
高二,67,71,68,74,80,81,66,71.0,丙
高三,62,78,78,94,78,71,68,78.0,丙
高三,79,64,53,68,63,59,71,64.0,丙
高三,94,91,61,61,56,52,53,61.0,丙
高一,63,83,56,55,74,70,64,64.0,丙
高一,86,57,81,58,96,61,56,61.0,丙
高一,51,92,96,84,85,66,83,84.0,丙
高二,50,84,89,69,67,64,58,67.0,丙
高一,71,90,66,66,55,71,57,66.0,丙
高三,70,86,63,65,70,98,64,70.0,丙
高三,74,66,69,68,55,86,82,69.0,丙
高三,77,55,82,100,52,67,69,69.0,丙
高一,71,60,83,78,82,99,86,82.0,丙
高二,92,57,74,100,99,79,86,86.0,乙
高三,89,68,88,74,51,87,91,87.0,乙
高三,69,53,81,55,95,83,72,72.0,丙
高二,52,86,71,91,78,50,80,78.0,丙
高一,83,60,73,82,60,97,66,73.0,丙
高三,88,91,87,93,100,77,70,88.0,乙
高二,54,81,100,99,71,71,61,71.0,丙
高三,67,76,89,66,100,63,95,76.0,丙
高二,95,76,76,88,88,97,64,88.0,乙
高三,78,91,92,66,72,51,71,72.0,丙
高二,71,69,57,69,61,77,82,69.0,丙
高一,72,75,59,53,92,73,75,73.0,丙
高三,92,56,51,81,75,83,61,75.0,丙
高三,51,95,88,87,77,97,87,87.0,乙
高一,89,86,83,52,74,75,57,75.0,丙
高一,59,76,97,54,50,68,66,66.0,丙
高三,82,91,50,67,86,85,65,82.0,丙
高三,52,76,76,65,83,60,55,65.0,丙
高三,88,67,77,66,62,54,83,67.0,丙
高一,54,55,76,50,100,57,79,57.0,丁
高二,57,81,73,82,90,97,74,81.0,丙
高一,63,55,88,95,77,57,86,77.0,丙
高二,81,88,66,95,82,64,90,82.0,丙
高一,64,67,90,81,77,56,87,77.0,丙
高一,51,80,56,92,93,63,77,77.0,丙
高二,93,73,92,96,90,93,68,92.0,甲
高一,76,56,96,78,80,55,94,78.0,丙
高三,69,64,71,58,62,66,89,66.0,丙
高三,52,76,63,71,52,85,88,71.0,丙
高二,93,79,50,68,85,73,86,79.0,丙
高二,70,62,69,92,61,62,57,62.0,丙
高一,83,79,91,62,90,68,55,79.0,丙
高二,89,99,52,69,61,94,72,72.0,丙
高二,57,94,52,80,60,97,69,69.0,丙
高三,91,66,54,77,54,52,89,66.0,丙
高二,53,53,69,86,54,87,75,69.0,丙
高三,79,85,64,84,90,66,75,79.0,丙
高三,85,72,69,53,61,54,88,69.0,丙
高二,60,78,79,84,66,90,82,79.0,丙
高二,87,80,59,78,75,95,77,78.0,丙
高三,61,67,57,94,76,84,95,76.0,丙
高三,81,80,66,90,99,77,93,81.0,丙
高二,50,77,91,94,57,72,67,72.0,丙
高一,99,61,71,76,92,62,71,71.0,丙
高二,73,61,100,59,54,58,84,61.0,丙
高一,73,50,60,75,78,51,89,73.0,丙
高二,99,57,64,94,97,94,51,94.0,甲
高二,59,56,95,89,88,82,68,82.0,丙
高一,66,60,78,65,55,62,96,65.0,丙
高三,89,72,71,77,54,78,51,72.0,丙
高二,78,61,78,94,93,96,94,93.0,甲
高三,52,74,82,94,53,72,98,74.0,丙
高二,74,81,57,50,98,79,69,74.0,丙
高二,72,100,59,87,100,91,86,87.0,乙
高一,55,82,84,95,95,62,69,82.0,丙
高三,77,100,77,55,99,62,100,77.0,丙
高三,94,58,79,60,83,60,69,69.0,丙
高三,62,99,96,90,87,97,65,90.0,甲
高一,68,50,98,73,77,91,79,77.0,丙
高二,82,74,74,67,85,52,98,74.0,丙
高二,51,58,70,55,85,70,56,58.0,丁
高一,69,91,77,82,50,64,72,72.0,丙
高二,60,80,57,54,50,74,72,60.0,丙
高二,66,53,99,65,96,61,77,66.0,丙
高一,77,97,57,73,64,83,57,73.0,丙
高三,53,53,51,82,83,66,68,66.0,丙
高三,56,54,83,59,98,62,62,62.0,丙
高二,72,56,87,100,98,93,55,87.0,乙
高三,100,70,93,69,50,63,50,69.0,丙
高一,58,76,74,75,73,98,77,75.0,丙
高三,52,56,63,75,86,80,59,63.0,丙
高二,98,69,77,98,59,51,89,77.0,丙
高三,53,60,90,56,71,90,62,62.0,丙
高三,60,61,61,58,58,76,57,60.0,丙
高三,79,51,84,68,77,64,80,77.0,丙
高三,94,100,75,68,68,54,76,75.0,丙
高三,62,73,56,60,92,81,62,62.0,丙
高二,96,99,80,85,74,76,88,85.0,乙
高一,93,87,94,54,70,60,60,70.0,丙
高二,59,85,93,54,65,100,79,79.0,丙
高三,78,67,81,94,54,83,65,78.0,丙
高一,90,95,96,72,59,77,80,80.0,丙
高一,58,99,81,86,73,61,62,73.0,丙
高一,99,67,62,71,80,96,91,80.0,丙
高一,92,98,76,54,100,58,50,76.0,丙
高一,74,67,94,95,82,93,86,86.0,乙
高三,93,76,90,59,72,94,62,76.0,丙
高二,79,64,74,80,61,57,52,64.0,丙
高三,96,58,70,67,81,71,58,70.0,丙
高二,78,81,93,79,100,53,50,79.0,丙
高二,59,60,98,99,71,79,87,79.0,丙
高三,79,80,98,51,76,85,75,79.0,丙
高一,54,74,97,80,80,92,56,80.0,丙
高二,54,69,95,97,69,50,94,69.0,丙
高一,67,62,66,91,88,73,70,70.0,丙
高一,61,56,84,67,74,71,81,71.0,丙
高三,93,59,67,85,88,81,99,85.0,乙
高二,78,74,73,70,78,74,73,74.0,丙
高三,53,89,67,85,75,65,53,67.0,丙
高二,61,58,59,68,54,80,94,61.0,丙
高二,94,70,87,58,90,69,94,87.0,乙
高三,91,82,66,66,76,93,60,76.0,丙
高二,58,63,77,53,63,87,93,63.0,丙
高一,98,65,87,95,63,71,90,87.0,乙
高三,82,96,59,56,57,70,56,59.0,丁
高二,61,77,67,78,50,58,68,67.0,丙
高一,66,87,72,72,50,97,61,72.0,丙
高三,53,52,66,76,61,50,89,61.0,丙
高一,77,75,97,85,55,73,63,75.0,丙
高二,87,58,64,93,85,52,65,65.0,丙
高二,55,83,65,52,70,82,81,70.0,丙
高二,52,59,66,70,81,83,80,70.0,丙
高一,94,77,80,63,93,60,97,80.0,丙
高一,50,96,84,79,91,70,61,79.0,丙
高二,56,59,70,72,65,96,85,70.0,丙
高三,91,88,87,54,75,78,96,87.0,乙
高三,61,80,68,66,89,86,76,76.0,丙
高三,86,81,70,81,73,52,73,73.0,丙
高一,91,71,53,81,80,69,62,71.0,丙
高一,84,58,91,87,69,68,78,78.0,丙
高二,61,86,52,53,86,98,62,62.0,丙
高二,88,72,78,50,86,93,69,78.0,丙
高二,61,61,65,81,71,75,76,71.0,丙
高二,58,65,99,76,54,96,84,76.0,丙
高二,91,71,79,84,80,94,100,84.0,丙
高一,54,81,63,96,100,62,97,81.0,丙
高一,98,52,80,73,96,98,90,90.0,甲
高三,88,65,81,74,50,70,83,74.0,丙
高二,60,82,72,67,57,88,63,67.0,丙
高一,62,57,79,72,98,98,70,72.0,丙
高一,57,100,100,64,53,80,96,80.0,丙
高一,66,64,96,68,97,98,63,68.0,丙
高一,92,76,85,72,96,61,76,76.0,丙
高三,98,84,97,81,65,85,79,84.0,丙
高三,54,56,95,61,84,52,83,61.0,丙
高二,99,53,82,62,60,55,68,62.0,丙
高三,73,72,84,57,72,50,67,72.0,丙
高二,86,83,51,81,92,83,79,83.0,丙
高三,69,79,95,51,87,55,61,69.0,丙
高二,81,61,57,50,95,71,74,71.0,丙
高二,84,73,79,56,51,72,78,73.0,丙
高三,61,73,53,61,80,70,56,61.0,丙
高一,64,77,70,89,52,96,100,77.0,丙
高二,81,50,88,67,76,94,93,81.0,丙
高二,61,91,71,74,99,65,100,74.0,丙
高一,85,71,63,62,73,59,85,71.0,丙
高一,60,60,75,84,85,54,99,75.0,丙
高二,60,85,99,80,83,54,71,80.0,丙
高二,84,92,77,53,68,71,70,71.0,丙
高二,54,54,52,72,87,52,77,54.0,丁
高三,83,88,60,54,91,85,96,85.0,乙
高三,93,69,62,77,76,77,94,77.0,丙
高一,97,59,92,60,96,81,71,81.0,丙
高二,91,78,89,58,68,86,53,78.0,丙
高三,50,100,84,70,66,61,98,70.0,丙
高二,66,89,69,97,54,98,92,89.0,乙
高二,74,72,100,72,69,67,93,72.0,丙
高二,66,77,94,98,56,50,56,66.0,丙
高一,81,86,81,66,62,70,58,70.0,丙
高三,77,96,67,78,80,50,91,78.0,丙
高二,80,66,91,83,93,90,60,83.0,丙
高一,70,84,90,57,65,57,82,70.0,丙
高一,66,72,80,53,71,70,78,71.0,丙
高二,73,55,69,87,63,81,50,69.0,丙
高一,99,63,60,94,79,97,64,79.0,丙
高一,53,61,75,93,66,70,57,66.0,丙
高一,79,75,54,59,72,93,92,75.0,丙
高二,62,89,89,94,95,87,95,89.0,乙
高三,87,68,76,61,80,73,72,73.0,丙
高一,65,89,85,57,63,80,50,65.0,丙
高二,57,80,68,85,80,71,84,80.0,丙
高一,95,58,61,82,72,56,68,68.0,丙
高一,59,77,72,67,51,69,85,69.0,丙
高二,54,73,81,66,79,60,70,70.0,丙
高三,98,93,80,65,87,54,87,87.0,乙
高三,98,95,71,79,61,56,71,71.0,丙
高二,54,53,70,87,84,59,61,61.0,丙
高三,71,73,50,98,55,67,88,71.0,丙
高三,90,55,63,74,99,80,89,80.0,丙
高三,68,91,64,59,60,50,69,64.0,丙
高一,100,75,87,80,91,78,79,80.0,丙
高二,65,78,86,66,82,94,62,78.0,丙
高二,70,70,83,58,56,57,77,70.0,丙
高一,91,69,93,53,75,66,92,75.0,丙
高二,100,67,99,70,58,70,89,70.0,丙
高三,85,86,57,86,100,92,79,86.0,乙
高二,77,69,67,100,72,63,69,69.0,丙
高一,65,62,58,57,71,86,81,65.0,丙
高一,65,84,69,50,59,64,78,65.0,丙
高一,89,66,61,69,88,85,81,81.0,丙
高一,64,61,53,82,73,77,82,73.0,丙
高二,97,63,98,51,66,87,56,66.0,丙
高三,81,85,91,77,60,52,80,80.0,丙
高三,52,76,53,74,56,91,81,74.0,丙
高三,66,76,96,64,97,90,54,76.0,丙
高三,94,85,100,81,88,83,51,85.0,乙
高二,69,95,62,82,88,93,61,82.0,丙
高一,83,70,90,78,71,62,55,71.0,丙
高三,84,65,99,89,95,70,93,89.0,乙
高一,75,95,57,85,92,60,54,75.0,丙
高三,89,68,57,77,85,67,77,77.0,丙
高二,80,69,51,82,97,63,86,80.0,丙
高二,86,52,90,84,98,56,51,84.0,丙
高三,88,50,96,89,51,93,63,88.0,乙
高三,82,61,64,65,63,96,55,64.0,丙
高二,58,94,56,72,91,92,98,91.0,甲
高一,92,56,92,73,57,73,60,73.0,丙
高一,57,57,68,77,57,78,53,57.0,丁
高一,80,56,73,77,95,67,94,77.0,丙
高三,52,86,74,54,77,84,78,77.0,丙
高一,54,92,71,88,75,66,52,71.0,丙
高二,71,89,76,94,71,100,55,76.0,丙
高二,89,71,79,83,90,80,55,80.0,丙
高一,75,95,74,55,58,65,62,65.0,丙
高二,81,89,70,77,58,72,95,77.0,丙
高二,93,100,93,83,80,92,52,92.0,甲
高三,87,61,93,93,93,98,100,93.0,甲
高一,61,71,70,83,87,83,57,71.0,丙
高三,91,55,96,76,80,98,83,83.0,丙
高二,77,58,67,84,97,60,75,75.0,丙
高一,71,74,91,78,74,84,71,74.0,丙
高三,89,94,71,66,78,85,77,78.0,丙
高三,53,96,58,52,54,57,93,57.0,丁
高三,67,96,58,50,71,79,97,71.0,丙
高三,98,63,55,68,70,71,79,70.0,丙
高一,62,90,85,68,80,66,81,80.0,丙
高一,78,64,67,55,71,96,60,67.0,丙
高一,60,82,78,79,64,63,83,78.0,丙
高一,73,89,69,54,76,70,94,73.0,丙
高一,72,93,56,65,80,100,76,76.0,丙
高三,55,62,79,79,64,82,71,71.0,丙
高二,100,56,89,68,53,65,90,68.0,丙
高二,82,85,100,77,97,98,90,90.0,甲
高二,90,83,86,50,59,64,94,83.0,丙
高三,83,51,61,59,60,51,87,60.0,丙
高一,86,87,62,76,97,66,69,76.0,丙
高三,76,81,84,65,81,57,66,76.0,丙
高三,95,53,67,95,73,56,50,67.0,丙
高一,69,92,94,100,81,63,62,81.0,丙
高一,59,57,65,66,56,71,57,59.0,丁
高二,97,73,61,75,79,58,91,75.0,丙
高二,81,97,69,80,75,68,63,75.0,丙
高三,98,61,95,75,69,92,71,75.0,丙
高一,87,94,64,99,97,78,56,87.0,乙
高二,63,82,86,67,68,88,71,71.0,丙
高二,54,64,57,65,77,60,91,64.0,丙
高一,73,62,80,54,100,54,60,62.0,丙
高一,71,67,86,79,94,79,63,79.0,丙
高三,98,78,82,72,96,97,92,92.0,甲
高一,84,71,92,66,91,84,91,84.0,丙
高三,92,67,96,77,94,82,97,92.0,甲
高一,79,58,78,57,87,89,75,78.0,丙
高二,74,93,60,72,64,96,90,74.0,丙
高二,70,86,64,66,60,51,98,66.0,丙
高三,76,61,67,65,50,57,66,65.0,丙
高三,98,99,78,99,57,63,92,92.0,甲
高一,96,72,77,92,96,60,85,85.0,乙
高一,60,73,94,66,59,68,94,68.0,丙
高一,94,99,64,64,52,93,65,65.0,丙
高一,65,74,68,86,86,66,72,72.0,丙
高三,86,75,97,96,68,96,89,89.0,乙
高一,87,86,72,84,100,63,60,84.0,丙
高三,80,85,95,73,96,78,88,85.0,乙
高一,71,64,60,86,57,56,71,64.0,丙
高二,87,50,87,91,99,53,58,87.0,乙
高三,50,62,54,96,50,87,87,62.0,丙
高二,66,61,70,78,89,89,65,70.0,丙
高三,83,72,68,97,75,99,55,75.0,丙
高三,86,77,75,77,68,99,77,77.0,丙
高一,93,72,59,56,77,55,98,72.0,丙
高二,63,68,90,90,79,95,93,90.0,甲
高二,84,66,67,81,57,74,74,74.0,丙
高一,68,98,77,68,56,79,68,68.0,丙
高一,80,58,58,77,65,98,75,75.0,丙
高一,50,65,74,77,95,67,61,67.0,丙
高三,94,81,67,87,68,59,77,77.0,丙
高三,98,55,86,60,78,87,60,78.0,丙
高一,50,57,52,51,62,94,56,56.0,丁
高三,93,66,84,81,81,98,64,81.0,丙
高一,82,99,79,72,55,55,94,79.0,丙
高三,90,69,75,69,82,89,56,75.0,丙
高二,53,75,75,78,95,86,80,78.0,丙
高二,78,99,72,53,88,85,83,83.0,丙
高三,69,58,86,81,51,83,88,81.0,丙
高一,73,61,77,72,78,74,60,73.0,丙
高二,82,84,58,52,68,66,54,66.0,丙
高一,85,82,64,66,88,64,70,70.0,丙
高二,82,79,84,51,84,99,84,84.0,丙
高二,84,75,94,74,82,96,83,83.0,丙
高二,62,62,78,81,69,75,54,69.0,丙
高三,70,66,53,87,73,66,52,66.0,丙
高三,75,88,89,73,92,77,76,77.0,丙
高三,55,88,75,67,62,61,98,67.0,丙
高三,81,77,53,87,74,81,78,78.0,丙
高一,57,70,66,82,98,82,83,82.0,丙
高一,79,67,80,81,57,71,86,79.0,丙
高一,54,95,72,99,55,100,83,83.0,丙
高一,55,50,83,63,58,92,98,63.0,丙
高三,54,59,91,96,89,51,97,89.0,乙
高一,66,62,84,55,95,94,71,71.0,丙
高二,80,70,80,72,91,50,93,80.0,丙
高二,95,58,77,50,94,51,53,58.0,丁
高三,94,77,83,75,65,92,56,77.0,丙
高二,68,52,56,53,67,66,73,66.0,丙
高一,89,57,79,98,50,81,67,79.0,丙
高一,78,52,79,56,100,93,80,79.0,丙
高二,83,59,85,80,58,87,52,80.0,丙
高一,61,64,85,79,52,77,73,73.0,丙
高三,54,95,57,71,67,96,84,71.0,丙
高二,98,65,97,67,66,92,54,67.0,丙
高三,79,73,90,50,58,94,67,73.0,丙
高一,78,76,100,57,94,55,63,76.0,丙
高三,51,92,95,58,52,90,89,89.0,乙
高一,93,80,59,61,99,86,98,86.0,乙
高二,80,76,61,97,69,51,66,69.0,丙
高一,97,90,61,52,97,68,60,68.0,丙
高一,60,56,55,94,94,66,93,66.0,丙
高一,91,99,85,52,76,98,61,85.0,乙
高二,82,61,58,70,50,91,69,69.0,丙
高一,79,56,85,85,86,72,81,81.0,丙
高一,78,63,71,97,86,68,76,76.0,丙
高二,91,75,87,57,88,71,96,87.0,乙
高三,64,58,67,73,58,86,83,67.0,丙
高一,54,98,51,64,98,77,59,64.0,丙
高一,67,85,68,57,62,64,51,64.0,丙
高二,97,85,75,53,58,68,71,71.0,丙
高一,90,72,83,50,51,53,62,62.0,丙
高一,75,93,61,83,93,73,91,83.0,丙
高二,54,88,90,84,71,55,73,73.0,丙
高一,60,82,78,97,94,54,86,82.0,丙
高一,64,98,60,58,53,79,50,60.0,丙
高二,63,69,50,57,58,54,80,58.0,丁
高三,95,88,95,52,84,50,85,85.0,乙
高二,76,74,70,73,62,74,54,73.0,丙
高三,99,87,79,84,60,54,96,84.0,丙
高三,94,73,85,100,98,93,89,93.0,甲
高二,95,66,51,51,65,61,80,65.0,丙
高二,73,100,68,79,90,58,67,73.0,丙
高一,66,66,99,79,66,83,67,67.0,丙
高三,89,59,69,87,97,77,60,77.0,丙
高二,73,75,82,81,81,96,100,81.0,丙
高三,97,85,85,61,87,71,88,85.0,乙
高三,57,61,52,72,65,67,52,61.0,丙
高二,81,58,74,56,96,75,50,74.0,丙
高二,56,80,88,57,91,53,67,67.0,丙
高一,100,51,95,83,100,54,55,83.0,丙
高一,93,56,50,64,97,90,79,79.0,丙
高二,81,71,65,82,60,54,99,71.0,丙
高三,67,85,60,93,70,71,67,70.0,丙
高二,52,89,57,53,59,94,86,59.0,丁
高三,56,73,83,55,57,95,85,73.0,丙
高三,89,93,56,77,72,56,71,72.0,丙
高二,84,99,76,99,77,55,85,84.0,丙
高一,87,82,68,82,76,90,63,82.0,丙
高一,79,64,56,99,84,84,56,79.0,丙
高一,60,100,56,51,97,63,73,63.0,丙
高三,53,65,57,80,85,69,97,69.0,丙
高二,55,51,98,86,51,63,76,63.0,丙
高二,80,51,100,66,84,79,59,79.0,丙
高二,90,96,91,91,95,81,70,91.0,甲
高二,83,64,61,90,57,94,95,83.0,丙
高二,91,87,52,57,60,93,93,87.0,乙
高三,92,55,66,86,97,85,83,85.0,乙
高一,92,83,84,99,57,50,79,83.0,丙
高三,76,88,69,79,73,83,55,76.0,丙
高二,95,61,53,75,69,67,73,69.0,丙
高三,69,52,78,76,51,69,67,69.0,丙
高三,78,51,76,67,78,58,81,76.0,丙
高二,97,55,95,97,97,61,64,95.0,甲
高二,75,76,89,53,83,68,98,76.0,丙
高二,60,59,74,94,54,79,64,64.0,丙
高三,100,81,94,82,77,64,58,81.0,丙
高二,82,83,81,72,55,97,83,82.0,丙
高一,88,100,52,81,84,65,55,81.0,丙
高三,54,51,94,88,80,98,55,80.0,丙
高二,78,61,55,83,57,55,97,61.0,丙
高一,72,89,88,65,71,95,61,72.0,丙
高二,56,90,95,76,70,69,60,70.0,丙
高三,71,58,88,93,99,88,91,88.0,乙
高三,94,74,61,74,77,68,70,74.0,丙
高二,61,62,87,71,98,65,57,65.0,丙
高三,91,91,72,57,87,91,57,87.0,乙
高二,78,88,90,98,92,60,82,88.0,乙
高一,87,72,64,78,55,78,66,72.0,丙
高二,67,90,88,75,81,51,53,75.0,丙
高三,86,52,74,87,59,74,88,74.0,丙
高三,93,72,57,80,77,79,71,77.0,丙
高二,50,82,59,84,92,81,100,82.0,丙
高三,70,64,51,60,79,90,73,70.0,丙
高一,73,66,59,70,99,81,84,73.0,丙
高三,93,55,96,92,95,68,93,93.0,甲
高一,59,77,79,62,86,95,100,79.0,丙
高二,73,96,70,73,55,67,57,70.0,丙
高三,91,67,63,63,89,64,52,64.0,丙
高三,78,61,66,58,93,98,82,78.0,丙
高二,59,92,89,100,78,61,83,83.0,丙
高二,76,99,74,69,77,69,96,76.0,丙
高三,80,65,92,73,54,100,55,73.0,丙
高一,59,95,62,81,91,88,54,81.0,丙
高三,71,100,93,72,73,65,53,72.0,丙
高一,74,96,85,66,85,57,50,74.0,丙
高一,92,78,88,66,51,51,94,78.0,丙
高一,78,100,100,79,61,77,86,79.0,丙
高一,73,79,53,93,56,50,56,56.0,丁
高二,89,95,55,51,52,83,94,83.0,丙
高二,78,83,50,63,52,91,68,68.0,丙
高一,67,77,96,93,70,51,70,70.0,丙
高三,54,96,75,50,94,51,75,75.0,丙
高二,71,94,76,83,82,80,79,80.0,丙
高二,95,72,53,71,82,57,59,71.0,丙
高二,76,76,57,79,53,59,85,76.0,丙
高三,74,79,77,97,89,88,67,79.0,丙
高三,60,61,88,80,96,84,74,80.0,丙
高二,55,91,74,79,90,83,89,83.0,丙
高三,77,72,86,74,83,59,56,74.0,丙
高一,62,69,97,51,80,66,71,69.0,丙
高一,69,66,90,50,63,58,53,63.0,丙
高一,71,60,58,84,86,89,81,81.0,丙
高三,71,98,92,75,69,99,94,92.0,甲
高一,70,82,80,65,53,75,98,75.0,丙
高一,56,70,76,62,75,58,51,62.0,丙
高一,83,96,84,71,86,91,80,84.0,丙
高一,57,75,69,50,51,93,89,69.0,丙
高一,97,74,76,50,94,58,60,74.0,丙
高二,70,79,73,95,85,91,67,79.0,丙
高三,77,54,77,84,88,99,88,84.0,丙
高二,79,88,66,76,72,83,51,76.0,丙
高三,62,55,78,55,70,52,78,62.0,丙
高二,73,87,62,89,79,75,79,79.0,丙
高二,85,69,95,99,57,58,65,69.0,丙
高二,64,72,72,74,67,59,56,67.0,丙
高三,95,81,72,94,79,65,57,79.0,丙
高三,53,89,65,83,80,72,80,80.0,丙
高三,72,94,85,79,73,75,100,79.0,丙
高三,52,50,52,90,62,87,97,62.0,丙
高一,64,93,88,86,64,59,63,64.0,丙
高一,50,60,75,58,82,73,94,73.0,丙
高三,96,56,89,99,80,50,87,87.0,乙
高一,86,81,87,92,86,69,87,86.0,乙
高一,62,72,90,83,99,85,61,83.0,丙
高一,72,77,97,56,76,91,61,76.0,丙
高三,90,77,54,94,89,92,98,90.0,甲
高三,82,93,72,72,74,72,74,74.0,丙
高二,80,64,65,68,59,69,55,65.0,丙
高三,89,66,90,76,66,70,85,76.0,丙
高三,69,65,76,91,66,93,68,69.0,丙
高一,53,82,90,81,66,58,52,66.0,丙
高二,65,93,79,64,52,93,77,77.0,丙
高二,55,62,58,65,75,100,92,65.0,丙
高一,58,57,64,59,60,91,55,59.0,丁
高二,68,92,89,50,51,53,54,54.0,丁
